,session_no,question_by,question_type,question_count
391,219Part2,PROF. ALKA BALRAM KSHATRIYA,STARRED,4
392,219Part2,PROF. ALKA BALRAM KSHATRIYA,UNSTARRED,14
393,219Part2,Prof. P.J. Kurien,STARRED,2
394,219Part2,Prof. P.J. Kurien,UNSTARRED,8
395,219Part2,Prof. Saif-ud-Din Soz,STARRED,4
396,219Part2,Prof. Saif-ud-Din Soz,UNSTARRED,8
397,219Part2,SHRI A. ELAVARASAN,STARRED,2
398,219Part2,SHRI A. ELAVARASAN,UNSTARRED,35
399,219Part2,SHRI A.A. JINNAH,UNSTARRED,1
400,219Part2,SHRI AHMAD SAEED MALIHABADI,STARRED,1
401,219Part2,SHRI AHMAD SAEED MALIHABADI,UNSTARRED,5
402,219Part2,SHRI AMIR ALAM KHAN,STARRED,5
403,219Part2,SHRI AMIR ALAM KHAN,UNSTARRED,31
404,219Part2,SHRI ANIL H. LAD,STARRED,4
405,219Part2,SHRI ANIL H. LAD,UNSTARRED,15
406,219Part2,SHRI B.S. GNANADESIKAN,STARRED,3
407,219Part2,SHRI B.S. GNANADESIKAN,UNSTARRED,16
408,219Part2,SHRI BALAVANT ALIAS BAL APTE,UNSTARRED,2
409,219Part2,SHRI BHAGABAN MAJHI,UNSTARRED,2
410,219Part2,SHRI BHAGAT SINGH KOSHYARI,STARRED,2
411,219Part2,SHRI BHAGAT SINGH KOSHYARI,UNSTARRED,28
412,219Part2,SHRI BHAGIRATHI MAJHI,STARRED,5
413,219Part2,SHRI BHAGIRATHI MAJHI,UNSTARRED,6
414,219Part2,SHRI BHAGWATI SINGH,STARRED,4
415,219Part2,SHRI BHAGWATI SINGH,UNSTARRED,8
416,219Part2,SHRI BHARATKUMAR RAUT,STARRED,3
417,219Part2,SHRI BHARATKUMAR RAUT,UNSTARRED,19
418,219Part2,SHRI BHARATSINH PRABHATSINH PARMAR,UNSTARRED,3
419,219Part2,SHRI BIRENDRA PRASAD BAISHYA,STARRED,5
420,219Part2,SHRI BIRENDRA PRASAD BAISHYA,UNSTARRED,31
421,219Part2,SHRI BRIJ BHUSHAN TIWARI,STARRED,4
422,219Part2,SHRI BRIJ BHUSHAN TIWARI,UNSTARRED,13
423,219Part2,SHRI GIREESH KUMAR SANGHI,STARRED,3
424,219Part2,SHRI GIREESH KUMAR SANGHI,UNSTARRED,20
425,219Part2,SHRI GOVINDRAO ADIK,STARRED,3
426,219Part2,SHRI GOVINDRAO ADIK,UNSTARRED,20
427,219Part2,SHRI ISHWAR SINGH,STARRED,4
428,219Part2,SHRI ISHWAR SINGH,UNSTARRED,7
429,219Part2,SHRI JAI PRAKASH NARAYAN SINGH,STARRED,3
430,219Part2,SHRI JAI PRAKASH NARAYAN SINGH,UNSTARRED,28
431,219Part2,SHRI K.E. ISMAIL,STARRED,3
432,219Part2,SHRI K.E. ISMAIL,UNSTARRED,5
433,219Part2,SHRI KALRAJ MISHRA,STARRED,3
434,219Part2,SHRI KALRAJ MISHRA,UNSTARRED,26
435,219Part2,SHRI KAMAL AKHTAR,STARRED,1
436,219Part2,SHRI KAMAL AKHTAR,UNSTARRED,27
